Club,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
La Equidad,65.47989414616268,63.60875927751222,65.2131399681111,67.74702020608582,55.13985876066509,66.23052059906664,55.68604924008332,61.26694621756845,64.1997853437401,67.97637699717836,78.25841786285137,77.32920258084764,77.68692212406802,67.46874935668883,79.61235165590723,65.94018000851943,77.45466191524314,74.20783291057728,74.46374927247665,61.39648396613151,69.69706823219376,62.9991252356856,66.31964169060973,64.88634641174696,63.1964919586629,65.26320986782413,60.19861034261912,62.68105854648973,61.926960661632485
Real Zaragoza,67.52672192601607,66.16774929625286,70.71750796217583,71.43085318720712,62.857769138911166,69.47260071622622,67.69216106224816,66.60876974908332,69.80540713778406,69.92504183953919,73.65902228937584,74.21435548552121,72.76160120617668,67.08684071832269,76.94527163293971,74.1033635824921,77.23562209219173,78.30378698738232,80.71051442049938,67.99999048627019,73.43675744205785,67.88049682117864,69.63400104127416,69.61420272720903,64.57109408295419,68.17802115269713,66.61811867377484,70.07279141763078,67.63034432673078
Aalborg BK,62.16825474696902,62.30997375845783,64.72609439571,66.47316156518981,55.52654722277405,67.528117823766,61.898458720353574,56.953047588536435,64.06018527517257,69.26668270905493,73.93691280238191,74.81295543447033,75.75175751904364,64.8294415621958,74.0913342183303,68.72691411557726,77.9393028404378,74.46635416793787,75.40290458464014,61.725066717238995,67.79482088263835,63.55548511788405,65.72310421469817,63.709757119441385,61.05076406018874,66.89911466702338,64.408771657462,64.91455729716851,62.11603421859815
Le Havre AC,66.58204319195859,62.130955983367556,67.2380553034894,68.90417035923352,57.40845564247556,67.88620027850719,62.07177262535665,58.56557740441824,64.23588948787624,66.81107071261569,80.24671204076017,82.3651891075869,79.94325730210784,64.85929356762875,78.41821456594124,66.42823289167006,78.26393029119728,81.44414475587432,84.397229993197,63.48198308263924,67.47455092092343,63.05668839985164,62.92975133224764,63.14036428260327,61.859207871658406,63.36728362679406,64.02180672115013,65.91660812849015,63.68101335681951
KSV Cercle Brugge,65.2703388252489,64.76623327783277,67.42390151144652,68.04421303801043,60.04998403554223,71.11393343484339,61.14313503143628,59.123154667697435,64.12673336558358,70.42231566583747,78.77714044951706,77.00237692832432,78.09767634349859,64.333833463663,81.08613201297108,69.53140409949434,76.84648733090069,73.10290267052055,73.72330704893139,63.22958659383772,68.93822722270299,62.3518457495741,67.2108824729761,66.75947826146648,61.58245656268604,63.82770791943526,64.35749312907146,65.82738769804214,63.34755080802013
Górnik Zabrze,59.53985114757765,60.92108316196581,62.62718664013401,63.82007373175409,51.10294109368809,63.975311838388734,58.203048060841276,43.51638790896835,60.311093291577386,65.05300598075063,74.25643042292083,75.8672459825829,74.97262034245247,64.94961083980687,73.78065037413175,62.795570868550286,76.70707683802813,78.29992422684272,76.49159501926779,57.724639127038344,69.96996978354656,62.41937434398731,62.88809486071902,61.31438386631046,57.23135353942906,66.34363676891027,62.46675136724415,63.07144066711451,61.40922382729044
Central Coast Mariners,62.26619731318226,61.77958005657946,58.69478441566359,65.3480839880788,57.460152462341775,64.82115637460443,65.93042348069561,60.17805120832628,59.94591268686699,65.38976446003481,80.37387043690886,79.75444549298578,80.92000896845616,64.24867357738803,78.63077006160445,65.49271998265743,77.192053237802,79.25183458295102,76.41183884232495,62.73218408297928,75.78664344929084,61.54206097514696,63.4145194111032,62.94835391925426,65.36221053720165,65.49124013945377,58.775980299675,61.323023182944155,58.215985446695036
Wigan Athletic,67.27686779340337,67.11329077000272,69.17038078776538,69.24959557659147,63.17653533077892,69.80515748998435,64.44083195724188,64.81110754334024,68.62653701798384,70.46862064289768,82.84825577650646,80.83862592477779,80.61640452941539,67.48431753248732,79.9595357076141,72.2326100513616,77.75551212537218,75.40216834325359,80.21148547118125,67.75682390504578,77.94614915677239,64.70754929049963,68.24725672634558,67.87290258632619,67.03089233871984,70.93290183633138,66.32697361445608,67.44920195213453,65.579492579575
Jagiellonia Bia<U+0142>ystok,64.38814304271361,63.915007041918045,65.11831817005981,68.09212871223637,59.795020169545175,67.32201369389995,62.16836806288175,58.28309846794263,64.25276682228952,67.73099787779138,79.49344946157383,78.94854472405999,77.27761321338772,67.60922951406161,72.97298508133454,68.06773395969937,75.34799206389283,76.23466038921484,80.292891077803,64.04973483763219,69.9757777812524,67.63774749559538,65.28488165585345,65.3641792149746,62.09461242029216,66.76533342413028,63.92053237167986,64.49108299684495,64.03437961306794
Cittadella,61.39760875692325,63.10751421667819,67.34988161241328,69.50814857845037,59.1350568061777,65.90618586816198,59.032390189620976,57.19479006029483,65.36968902482647,67.70201355350812,78.73916343183299,75.6412586285611,75.5430963285961,66.57316184726095,79.34941009386301,65.24566710651239,71.43088216804048,73.28405363402521,74.92730433320622,63.47323046840605,66.9535705989444,64.26031149827175,64.55910534502313,64.6214556566753,62.173019349882765,66.97254043292973,67.79638378722115,67.57708686123307,66.23330844534165
Hibernian,62.7864711726389,61.68052234398735,65.36575271958712,67.69445483969419,57.372157453802856,67.99166535649715,63.71499385434194,60.1656691097083,65.85885500175154,68.1351851366981,80.89909060926635,81.45850346127365,79.93129085091718,66.44048623510982,78.54937627380673,67.80102212321547,77.04226525758311,79.00354100468904,78.77508010786042,61.076536720316724,70.85638294064611,61.369188204105306,63.30223390095063,64.93749726673781,67.70171467756762,67.33304177034546,62.281355070262,65.8225716677331,65.23541505316265
FC Lugano,61.84731789156209,62.588524688433296,64.49561550963712,67.6385303464602,59.77619842842946,68.49869722083338,60.0801714661202,57.31934581984677,62.74087060512244,69.69756464539766,77.14361066583884,77.3838028207487,73.15358592948728,64.40685681189733,76.03352650388958,67.18514033313852,73.79001708580097,75.11134415874012,79.93641104233438,64.63756980615844,66.3856825884485,63.37903986068309,67.472654816134,65.17197928592391,66.64727405028356,65.3226123508863,62.65113114948141,64.4698520139128,62.327045054497724
